topic,title,tip,difficulty,source
nutrition,Sleep-friendly foods,"Foods rich in melatonin and tryptophan such as cherries, almonds, and bananas may help improve sleep quality.",easy,sleepfoundation.org
nutrition,Cherries and sleep,"Cherries are one of the few natural food sources of melatonin and may support better sleep patterns.",easy,sleepfoundation.org
nutrition,Nuts before bed,"Almonds contain magnesium which can help relax muscles and support restful sleep.",easy,sleepfoundation.org
nutrition,Bananas for relaxation,"Bananas provide magnesium and tryptophan which may help the body relax before sleep.",easy,sleepfoundation.org
nutrition,Balanced evening snacks,"Light snacks that combine complex carbohydrates and protein can help stabilize blood sugar and support sleep.",medium,sleepfoundation.org
nutrition,Complex carbohydrates,"Foods like oats or whole-grain crackers in the evening may help increase tryptophan availability and support sleep.",easy,sleepfoundation.org
nutrition,Kiwi and sleep,"Eating kiwi before bedtime has been associated with improved sleep onset and duration due to its antioxidant content.",medium,sleepfoundation.org
nutrition,Milk and dairy,"Dairy products contain tryptophan which may help promote relaxation and better sleep when consumed in the evening.",easy,sleepfoundation.org
nutrition,Limit sugary snacks,"Avoiding high-sugar foods before bed can help prevent energy spikes that interfere with falling asleep.",easy,sleepfoundation.org
nutrition,Evening hydration,"Staying hydrated during the day but limiting fluids right before bed can reduce nighttime awakenings.",easy,sleepfoundation.org
nutrition,Herbal infusions,"Caffeine-free herbal infusions like lemon balm or passionflower may support relaxation before sleep.",medium,sleepfoundation.org
nutrition,Protein balance at dinner,"A balanced dinner with moderate protein may help regulate blood sugar levels overnight and support sleep quality.",medium,sleepfoundation.org
nutrition,Avoid spicy foods,"Spicy or heavy meals close to bedtime may cause discomfort or heartburn that disrupts sleep.",easy,sleepfoundation.org
nutrition,Timing of meals,"Finishing the last large meal at least 2–3 hours before bedtime can improve digestion and sleep comfort.",easy,sleepfoundation.org
nutrition,Omega-3 fatty acids,"Foods rich in omega-3 fatty acids, such as fatty fish or walnuts, may support sleep by reducing inflammation.",medium,sleepfoundation.org
nutrition,Tryptophan-rich foods,"Foods such as turkey, eggs, and seeds contain tryptophan which may see support melatonin production and better sleep.",medium,sleepfoundation.org
nutrition,Magnesium-rich greens,"Leafy green vegetables like spinach or Swiss chard provide magnesium that may help relax muscles before sleep.",easy,sleepfoundation.org
nutrition,Evening sugar control,"Reducing desserts and sweet drinks in the evening can help avoid blood sugar spikes that disrupt sleep.",easy,sleepfoundation.org
nutrition,Dark chocolate timing,"Dark chocolate contains small amounts of caffeine and is best avoided close to bedtime.",easy,sleepfoundation.org
nutrition,Alcohol awareness,"Although alcohol may cause drowsiness, it can disrupt sleep cycles later in the night.",easy,sleepfoundation.org
nutrition,Low-fat evening meals,"Choosing lighter, lower-fat meals in the evening may reduce digestive discomfort during sleep.",easy,sleepfoundation.org
nutrition,Calcium and sleep,"Calcium-rich foods like yogurt may support melatonin production and help regulate sleep cycles.",medium,sleepfoundation.org
nutrition,Portion size control,"Large portions late at night can increase digestion workload and negatively affect sleep quality.",easy,sleepfoundation.org
nutrition,Caffeine hidden sources,"Some teas, sodas, and chocolate products contain hidden caffeine that may interfere with sleep.",easy,sleepfoundation.org
nutrition,Consistent eating schedule,"Eating meals at consistent times each day may help regulate circadian rhythms and support better sleep.",medium,sleepfoundation.org
nutrition,Herbal evening drinks,"Caffeine-free herbal drinks such as rooibos tea may support relaxation before bedtime.",easy,sleepfoundation.org
nutrition,Limit late-night snacking,"Avoiding frequent late-night snacks may help regulate digestion and improve sleep quality.",easy,sleepfoundation.org
nutrition,B-vitamin balance,"B vitamins support energy metabolism and should be consumed earlier in the day to avoid sleep disruption.",medium,sleepfoundation.org
nutrition,Hydration timing,"Drinking most fluids earlier in the day can reduce nighttime bathroom trips and sleep interruptions.",easy,sleepfoundation.org
nutrition,Potassium-rich foods,"Foods like sweet potatoes and avocados contain potassium which may help prevent nighttime muscle cramps.",easy,sleepfoundation.org
nutrition,Light protein snacks,"Small protein snacks such as yogurt or cottage cheese may support overnight muscle recovery without disturbing sleep.",easy,sleepfoundation.org
nutrition,Avoid acidic foods,"Highly acidic foods before bed may trigger reflux and negatively impact sleep comfort.",easy,sleepfoundation.org
